Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
NWSA,2,0,-3.85,2,7.65,0,-15.14,2,11.64,0,-53.18,2,125.03
NWSA,3,0,-12.95,1,14.13,0,-8.59,1,10.87,0,-111.3,0,-418.88
DISCA,1,0,-10.25,4,11.28,4,0.79,4,5.6,0,-4.5,4,67.97
DISCA,2,0,-1.59,2,56.34,0,-5.29,2,53.54,0,-7.73,2,5.07
DISCA,3,0,-6.96,1,2.88,0,-6.65,1,5.79,0,-21.55,1,34.04
FOX,1,4,25.83,4,10.68,4,12.37,4,8.03,0,-38.34,4,118.98
FOX,2,0,-10.73,2,11.35,0,-29.71,2,12.17,2,371.99,0,-20.85
FOX,3,1,100.73,0,-4.53,0,-8.95,1,2.34,0,-141.48,1,168.77
NWS,1,4,0.32,0,-7.98,4,10.09,0,-10.58,4,432.61,0,-133.5
NWS,2,0,-3.85,2,7.65,0,-15.14,2,11.64,0,-53.18,2,125.03
NWS,3,0,-12.95,1,14.13,0,-8.59,1,10.87,0,-111.3,0,-418.88
