Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
AMT,6,5
PLD,1,3
CCI,6,6
EQIX.OQ,2,6
DLR,2,5
PSA,4,2
SBAC.OQ,6,5
SPG,0,7
WELL.N,0,6
WY,5,3
AVB,0,3
CBRE.N,4,7
O,0,7
ARE,2,7
EQR,2,6
VTR,5,5
PEAK.N,2,3
ESS,0,7
DRE,6,5
EXR,4,6
MAA,2,6
BXP,2,5
UDR,0,4
HST.N,0,6
IRM,5,3
REG.OQ,4,6
KIM,3,4
FRT,4,5
VNO,0,2
AIRC.L,0,0
SLG,1,7
