Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
XOM,0,3
CVX,1,3
COP,0,7
SLB,4,3
EOG,5,7
PSX,0,3
KMI,5,2
MPC,0,7
WMB,6,5
VLO,0,2
PXD,4,7
OKE,4,7
HAL,4,3
OXY,0,3
HES,0,0
BKR,1,3
CXO,0,3
FANG.OQ,1,3
COG,0,7
DVN,1,2
APA.N,4,1
MRO,1,2
NOV,0,0
FTI,2,0
HFC,2,3
