Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
PG,4,7
KO,1,6
WMT,3,4
PEP.OQ,6,3
COST.OQ,3,7
PM,6,3
TGT,2,6
MDLZ.OQ,4,7
MO,3,3
CL,5,3
EL,4,3
DG,3,7
KMB,3,3
SYY,4,3
STZ,4,3
GIS,5,6
MNST.OQ,7,7
ADM,6,3
DLTR.OQ,6,5
CLX,7,7
KR,1,2
MKC,6,7
KHC.OQ,4,5
HSY,4,3
CHD,5,7
TSN,6,5
CAG,6,6
K,7,1
BFB.N,6,5
HRL,4,3
SJM,3,4
LW,4,3
CPB,5,4
TAP,6,1
NWL.OQ,6,5
