Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
NTIP,1,2,9988.45,0,-204.04,2,11408.4,0,-350.97,-731.09,0.0,-240.95,0.0
NTIP,2,0,-20.82,1,203.6,0,-24.95,1,146.0,-88.34,0.0,205.68,1.0
NTN,1,2,520.47,0,-474.9,2,239.99,0,-256.04,-64.9,0.0,-697.12,0.0
NTN,2,0,-156.0,1,1001.75,0,-27.61,1,308.39,-48.82,0.0,-9.89,0.0
OBLG,1,2,174.58,0,-287.43,2,133.89,0,-13.5,-52.96,0.0,-99.36,0.0
OBLG,2,0,-137.66,0,-51.84,0,-100.62,0,-102.42,-24.0,0.0,-186.31,0.0
PED,1,2,1546.17,2,12358.57,2,449.36,2,273.45,-325.17,0.0,-159.38,0.0
PED,2,0,-175.53,1,107.8,0,-135.34,1,308.24,-74.13,0.0,421.96,1.0
PLX,1,0,-73.25,0,-76.84,0,-96.74,0,-4.34,-32.68,0.0,-55.85,0.0
PLX,2,0,-316.41,0,-48.17,0,-325.35,0,-51.65,-26.9,0.0,-40.05,0.0
PRK,1,2,410.87,2,55.33,2,410.87,2,55.33,13453.33,2.0,317.68,2.0
PRK,2,0,-9.67,0,-22.54,0,-9.67,0,-22.54,-101.93,0.0,-137.71,0.0
PW,1,0,-35.58,2,3117.14,0,-39.6,2,2779.49,-19.76,0.0,-20.0,0.0
PW,2,0,-10.5,0,-169.23,0,-6.95,0,-221.88,515.29,1.0,-98.08,0.0
REI,1,2,719.21,0,-19.69,2,366.55,0,-21.28,-93.5,0.0,-51.67,0.0
REI,2,0,-156.76,0,-43.06,0,-198.32,0,-31.29,-265.08,0.0,288.01,1.0
RHE,1,0,-760.87,2,153.35,0,-646.15,2,153.36,-544.54,0.0,-35.55,0.0
RHE,2,1,293.28,0,-207.65,1,231.88,0,-116.2,-671.55,0.0,-209.07,0.0
RLGT,1,0,-195.0,0,-153.42,0,-165.2,0,-169.53,-100.0,0.0,-132.32,0.0
RLGT,2,1,158.72,1,172.93,1,553.1,0,-31.45,121.66,1.0,-58.75,0.0
RMED,1,0,-227.04,0,-989.6,2,104.52,2,128.53,-99.28,0.0,,
RMED,2,0,-34.87,1,150.83,0,-2900.0,1,472.32,-41.2,0.0,,
RVP,1,2,6708.13,2,1426.29,2,3938.25,2,825.5,33.34,2.0,479.19,2.0
RVP,2,1,114.17,1,170.11,1,129.38,0,-122.56,774.74,1.0,-756.67,0.0
SEB,1,2,191.04,0,-234.81,0,-221.4,0,-70.72,681.93,2.0,1747.72,2.0
SEB,2,0,-30.36,0,-145.32,1,204.35,1,66.71,-21.48,0.0,-413.54,0.0
SENS,1,2,283.74,0,-1.36,0,-68.98,0,-93.58,-100.0,0.0,-90.54,0.0
SENS,2,0,-31.82,0,-84.91,1,727.51,0,-89.19,-228.35,0.0,-332.6,0.0
SIF,1,2,286.18,2,596.25,2,150.77,0,-10.71,-87.47,0.0,5756.62,2.0
SIF,2,0,-171.02,0,-25.56,0,-154.72,1,113.27,619.14,1.0,-92.27,0.0
SIM,1,2,508.2,0,-327.39,2,353.15,0,-117.36,-75.25,0.0,-230.41,0.0
SIM,2,0,-104.64,1,1306.94,0,-165.7,1,464.04,-62.2,0.0,367.7,1.0
