Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
FB.OQ,6,7
GOOGL.OQ,6,7
GOOG.O,6,7
DIS,1,1
VZ,4,6
NFLX.OQ,5,7
CMCSA.OQ,2,7
T,1,2
CHTR.OQ,6,6
TMUS.OQ,5,7
ATVI.OQ,6,6
TWTR.N,4,7
EA.OQ,1,5
TTWO.OQ,4,7
VIAC.O,2,3
OMC,4,7
LYV,0,4
LUMN.N,2,2
FOXA.OQ,6,3
IPG,6,6
DISCK.O,0,7
DISH.OQ,6,2
NWSA.OQ,4,2
DISCA.OQ,0,7
FOX.TA,2,5
NWS.O,4,2
