Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
CNP,1,4,10.44,4,33.91,4,2.98,4,16.17,0,-18.35,4,92.28
CNP,2,0,-19.39,0,-3.24,0,-27.32,2,10.14,2,108.75,0,-52.93
CNP,3,0,-0.73,1,1.18,0,-32.91,1,27.71,0,-671.82,1,56.92
PNW,1,4,60.38,0,-5.77,4,34.95,0,-5.96,4,78.75,0,-18.01
PNW,2,2,87.16,0,-3.46,2,40.44,2,3.53,2,545.33,2,1.14
PNW,3,1,196.32,1,9.62,0,-1.26,1,1.9,1,149.88,1,12.29
NI,1,0,-4.34,4,122.82,0,-6.25,4,1.85,0,-114.32,4,1825.64
NI,2,0,-39.7,0,-41.82,0,-40.04,2,4.92,0,-85.23,0,-108.93
NI,3,0,-41.18,1,5.57,1,14.91,1,8.51,1,105.48,1,8.21
NRG,1,0,-3.61,4,6.24,4,25.51,4,3.62,0,-13.33,4,634.24
NRG,2,2,43.06,2,8.32,2,10.85,2,4.45,2,137.13,2,1207.87
NRG,3,1,3.88,0,-2.28,0,-8.02,1,1.78,0,-96.1,0,-53.35
