Stock,Quarterly Diluted Normalized EPS Total Score,Annual Diluted Normalized EPS Total Score
NEE,2,7
DUK,5,3
SO,7,2
D,6,2
AEP.O,7,6
EXC.OQ,4,5
SRE,1,4
XEL.OQ,5,7
ES,5,7
WEC,5,7
PEG,7,6
AWK,6,7
EIX,6,5
ED,5,3
DTE,5,3
PPL,1,2
ETR,6,5
AEE,7,7
CMS,5,7
FE,7,5
AES,5,2
LNT.OQ,5,6
EVRG.N,7,2
ATO,1,7
CNP,2,5
PNW,7,3
NI,1,5
NRG,2,6
