Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
BLL,3,0,-44.01,P,1,2.43,P,1,1.61,P,1,63.62,P,1,21.21,P,1,28.38,P
HLT.N,1,4,81.51,N,4,65.43,P,4,3310.0,P,4,17.61,P,4,6.13,P,4,2.96,P
HLT.N,2,0,-540.34,N,0,-70.62,P,0,-98.29,P,2,59.29,P,2,9.53,P,2,10.86,P
HLT.N,3,0,-52.31,P,0,-18.95,P,0,-34.38,P,1,1477.37,P,1,23.65,P,1,8.93,P
VFC,1,4,202.76,P,4,142.34,P,4,127.3,P,0,-4.82,P,4,2.16,P,4,3.42,P
VFC,2,0,-2.19,N,0,-25.21,P,0,-35.13,P,2,727.86,P,2,370.62,P,2,377.92,P
VFC,3,0,-151.52,N,0,-57.48,P,0,-52.28,P,0,-82.15,P,0,-74.01,P,0,-74.13,P
AZO,1,0,-40.52,P,0,-30.61,P,0,-30.56,P,4,18.34,P,4,6.48,P,4,6.37,P
AZO,2,2,85.98,P,2,63.57,P,2,61.87,P,2,50.88,P,2,5.73,P,2,6.55,P
AZO,3,1,35.78,P,1,10.57,P,1,9.12,P,0,-5.13,P,1,3.05,P,1,4.08,P
DHI,1,4,30.59,P,4,18.74,P,4,26.12,P,4,47.83,P,4,15.45,P,4,26.38,P
DHI,2,2,36.6,P,2,19.78,P,2,23.84,P,2,2.61,P,2,9.49,P,2,5.51,P
DHI,3,1,15.38,P,1,11.92,P,1,12.55,P,1,48.86,P,1,14.03,P,1,20.46,P
BBY,1,4,7.95,P,4,19.61,P,4,23.13,P,4,7.98,P,4,1.77,P,4,0.87,P
BBY,2,2,168.7,P,2,15.74,P,2,15.52,P,2,29.43,P,2,1.73,P,2,0.86,P
BBY,3,0,-78.17,P,0,-43.66,P,0,-39.26,P,1,18.38,P,1,6.97,P,1,4.62,P
ETSY.OQ,1,4,3.8,P,4,5.3,P,4,4.4,P,4,17.29,P,4,35.56,P,4,32.56,P
