Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
LYV,2,0,-191.96,N,0,-94.58,P,0,-124.49,N,2,94.33,N,2,11.36,P,2,13.17,P
LYV,3,0,-5.92,N,0,-52.74,P,0,-29.9,P,0,-268.14,N,1,15.95,P,1,26.9,P
LUMN.N,1,0,-5.29,P,0,-0.48,P,0,-0.98,P,0,-328.64,N,0,-4.44,P,0,-2.04,P
LUMN.N,2,2,2.85,P,0,-0.69,P,0,-1.1,P,2,58.29,P,2,32.78,P,2,33.09,P
LUMN.N,3,0,-1.13,P,0,-6.14,P,0,-1.84,P,0,-82.56,P,1,1.06,P,0,-2.51,P
FOXA.OQ,1,4,126.7,P,4,12.37,P,4,25.83,P,0,-16.77,P,4,8.03,P,4,10.68,P
FOXA.OQ,2,2,371.48,P,0,-29.71,P,0,-10.73,P,2,11.91,P,2,12.17,P,2,11.35,P
FOXA.OQ,3,0,-66.25,P,0,-8.95,P,1,100.73,P,1,2.97,P,1,2.34,P,0,-4.53,P
IPG,1,4,670.94,P,4,4.93,P,4,63.61,P,4,5.32,P,4,5.22,P,4,8.27,P
IPG,2,2,105.43,P,0,-14.16,P,2,34.6,P,2,20.85,P,2,7.37,P,2,13.53,P
IPG,3,0,-94.27,P,0,-18.68,P,0,-70.56,P,0,-7.92,P,0,-0.09,P,0,-1.72,P
DISCK.O,1,0,-4.5,P,4,0.79,P,0,-10.25,P,4,67.97,P,4,5.6,P,4,4.88,P
DISCK.O,2,0,-7.73,P,0,-5.29,P,0,-1.64,P,2,5.07,P,2,53.54,P,2,65.87,P
DISCK.O,3,0,-21.55,P,0,-6.65,P,0,-6.91,P,1,34.04,P,1,5.79,P,1,4.53,P
DISH.OQ,1,4,11.44,P,4,42.19,P,4,39.91,P,0,-12.62,P,0,-5.97,P,0,-4.7,P
DISH.OQ,2,2,41.8,P,0,-0.94,P,2,7.28,P,2,31.54,P,0,-5.35,P,0,-1.31,P
DISH.OQ,3,0,-21.91,P,0,-0.72,P,0,-3.73,P,0,-28.49,P,0,-5.4,P,0,-11.65,P
NWSA.OQ,1,4,432.61,P,4,10.09,P,4,0.32,P,0,-133.5,N,0,-10.58,P,0,-8.54,P
NWSA.OQ,2,0,-53.18,N,0,-15.14,P,0,-3.85,P,2,125.03,P,2,11.64,P,2,8.03,P
NWSA.OQ,3,0,-111.3,N,0,-8.59,P,0,-12.95,P,0,-418.88,N,1,10.87,P,1,14.16,P
DISCA.OQ,1,0,-4.5,P,4,0.79,P,0,-10.25,P,4,67.97,P,4,5.6,P,4,4.88,P
DISCA.OQ,2,0,-7.73,P,0,-5.29,P,0,-1.64,P,2,5.07,P,2,53.54,P,2,65.87,P
DISCA.OQ,3,0,-21.55,P,0,-6.65,P,0,-6.91,P,1,34.04,P,1,5.79,P,1,4.53,P
FOX.TA,1,0,-38.34,P,4,24.22,P,4,15.87,P,4,118.98,P,4,33.44,P,4,32.76,P
FOX.TA,2,2,371.99,P,2,9.29,P,2,26.48,P,0,-20.85,P,2,27.95,P,2,17.36,P
FOX.TA,3,0,-141.48,N,0,-32.91,P,0,-39.25,P,1,168.77,P,1,10.65,P,1,20.73,P
NWS.O,1,4,432.61,P,4,10.09,P,4,0.32,P,0,-133.5,N,0,-10.58,P,0,-8.54,P
NWS.O,2,0,-53.18,N,0,-15.14,P,0,-3.85,P,2,125.03,P,2,11.64,P,2,8.03,P
NWS.O,3,0,-111.3,N,0,-8.59,P,0,-12.95,P,0,-418.88,N,1,10.87,P,1,14.16,P
